chrom	chromStart	chromEmd	accurate_result
chr1	700000	840000	0.9999860525131226
chr1	1300000	1440000	1.0
chr1	1600000	1740000	1.0
chr1	2100000	2240000	1.0
chr1	2700000	2840000	0.8189185857772827
chr1	2800000	2940000	0.9999982118606567
chr1	3100000	3240000	0.9999969005584717
chr1	3200000	3340000	0.9562200307846069
chr1	3600000	3740000	1.0
chr1	3900000	4040000	1.0
chr1	4000000	4140000	1.0
chr1	4200000	4340000	1.0
chr1	4400000	4540000	1.0
chr1	4500000	4640000	1.0
chr1	4900000	5040000	1.0
chr1	5000000	5140000	1.0
chr1	5200000	5340000	1.0
chr1	5500000	5640000	1.0
chr1	5800000	5940000	1.0
chr1	5900000	6040000	1.0
chr1	6800000	6940000	1.0
chr1	7000000	7140000	1.0
chr1	7100000	7240000	1.0
chr1	7200000	7340000	1.0
chr1	7600000	7740000	0.9999992251396179
chr1	7900000	8040000	1.0
chr1	8400000	8540000	1.0
chr1	8500000	8640000	1.0
chr1	8800000	8940000	0.9909144043922424
chr1	9200000	9340000	1.0
chr1	10600000	10740000	1.0
chr1	10800000	10940000	0.9980838298797607
chr1	10900000	11040000	0.8793553113937378
chr1	11200000	11340000	0.9999988079071045
chr1	11600000	11740000	1.0
chr1	12300000	12440000	1.0
chr1	12600000	12740000	1.0
chr1	12700000	12840000	1.0
chr1	12800000	12940000	0.9999849796295166
chr1	13700000	13840000	1.0
chr1	13800000	13940000	1.0
chr1	14000000	14140000	1.0
chr1	14600000	14740000	1.0
chr1	14900000	15040000	1.0
chr1	15100000	15240000	0.9669762849807739
chr1	15500000	15640000	1.0
chr1	16000000	16140000	1.0
chr1	16300000	16440000	0.9999992251396179
chr1	16700000	16840000	1.0
chr1	17500000	17640000	1.0
chr1	18300000	18440000	0.5560057163238525
chr1	18500000	18640000	0.9991876482963562
chr1	18700000	18840000	0.6889513731002808
chr1	18800000	18940000	1.0
chr1	19100000	19240000	1.0
chr1	20100000	20240000	1.0
chr1	20200000	20340000	1.0
chr1	20300000	20440000	1.0
chr1	20700000	20840000	1.0
chr1	21000000	21140000	0.9999998807907104
chr1	21100000	21240000	0.9999979734420776
chr1	21400000	21540000	1.0
chr1	21500000	21640000	0.8694605231285095
chr1	21700000	21840000	1.0
chr1	22000000	22140000	1.0
chr1	22200000	22340000	1.0
chr1	22500000	22640000	1.0
chr1	23300000	23440000	1.0
chr1	24100000	24240000	1.0
chr1	24500000	24640000	0.9999995231628418
chr1	25500000	25640000	1.0
chr1	25700000	25840000	1.0
chr1	26600000	26740000	1.0
chr1	26700000	26840000	1.0
chr1	27200000	27340000	1.0
chr1	28300000	28440000	0.9642324447631836
chr1	29000000	29140000	1.0
chr1	29700000	29840000	1.0
chr1	29800000	29940000	1.0
chr1	30200000	30340000	1.0
chr1	30400000	30540000	1.0
chr1	30600000	30740000	1.0
chr1	30800000	30940000	1.0
chr1	31300000	31440000	1.0
chr1	31700000	31840000	1.0
chr1	31900000	32040000	0.990465521812439
chr1	32700000	32840000	1.0
chr1	33000000	33140000	1.0
chr1	33100000	33240000	1.0
chr1	33300000	33440000	1.0
chr1	33400000	33540000	1.0
chr1	34100000	34240000	1.0
chr1	34200000	34340000	1.0
chr1	34300000	34440000	0.9999847412109375
chr1	34600000	34740000	1.0
chr1	34800000	34940000	0.9999990463256836
chr1	34900000	35040000	0.9997063279151917
chr1	35300000	35440000	1.0
chr1	35500000	35640000	1.0
chr1	36200000	36340000	1.0
chr1	36400000	36540000	1.0
chr1	36600000	36740000	1.0
chr1	36800000	36940000	1.0
chr1	36900000	37040000	0.9624688625335693
chr1	37000000	37140000	0.9999996423721313
chr1	37500000	37640000	1.0
chr1	37800000	37940000	1.0
chr1	37900000	38040000	0.9999986886978149
chr1	38800000	38940000	1.0
chr1	39100000	39240000	0.9999998807907104
chr1	39200000	39340000	1.0
chr1	40100000	40240000	1.0
chr1	40200000	40340000	1.0
chr1	40700000	40840000	1.0
chr1	40900000	41040000	1.0
chr1	41500000	41640000	1.0
chr1	41600000	41740000	1.0
chr1	42300000	42440000	1.0
chr1	42700000	42840000	1.0
chr1	43000000	43140000	1.0
chr1	43700000	43840000	1.0
chr1	44000000	44140000	1.0
chr1	45200000	45340000	1.0
chr1	45600000	45740000	1.0
chr1	46400000	46540000	1.0
chr1	46500000	46640000	1.0
chr1	46600000	46740000	1.0
chr1	46900000	47040000	1.0
chr1	47100000	47240000	1.0
chr1	47200000	47340000	1.0
chr1	47300000	47440000	0.9977916479110718
chr1	47500000	47640000	1.0
chr1	47800000	47940000	1.0
chr1	48000000	48140000	0.985542356967926
chr1	48200000	48340000	1.0
chr1	48300000	48440000	0.898478090763092
chr1	48700000	48840000	0.9940569400787354
chr1	48800000	48940000	0.999974250793457
chr1	48900000	49040000	1.0
chr1	49200000	49340000	1.0
chr1	49400000	49540000	0.9732033014297485
chr1	49800000	49940000	1.0
chr1	50100000	50240000	1.0
chr1	50200000	50340000	0.7430170178413391
chr1	50300000	50440000	1.0
chr1	50500000	50640000	1.0
chr1	51300000	51440000	0.9999997615814209
chr1	51400000	51540000	0.9073540568351746
chr1	51800000	51940000	0.9903398752212524
chr1	52000000	52140000	0.9999995231628418
chr1	52100000	52240000	1.0
chr1	52400000	52540000	1.0
chr1	52600000	52740000	0.9999926090240479
chr1	52700000	52840000	1.0
